M,J,X,W,Xi,Omega
1,1,0.53767,-2.2588,0.31877,-0.43359
1,2,1.8339,0.86217,-1.3077,0.34262
2,1,3.5784,-1.3499,0.7254,0.71474
2,2,2.7694,3.0349,-0.063055,-0.20497
3,1,-0.12414,1.409,0.6715,0.71724
3,2,1.4897,1.4172,-1.2075,1.6302
4,1,0.48889,0.72689,0.29387,0.8884
4,2,1.0347,-0.30344,-0.78728,-1.1471
5,1,-1.0689,-2.9443,0.32519,1.3703
5,2,-0.8095,1.4384,-0.75493,-1.7115
6,1,-0.10224,0.31921,-0.86488,-0.16488
6,2,-0.24145,0.31286,-0.030051,0.62771
7,1,1.0933,-0.86365,-1.2141,-0.0068493
7,2,1.1093,0.077359,-1.1135,1.5326
8,1,-0.76967,-0.22558,-1.0891,0.55253
8,2,0.37138,1.1174,0.032557,1.1006
9,1,1.5442,-1.4916,-1.0616,-0.6156
9,2,0.085931,-0.7423,2.3505,0.74808
10,1,-0.19242,-0.76485,-1.4224,-0.17738
10,2,0.88861,-1.4023,0.48819,-0.19605
11,1,1.4193,0.19781,-0.80447,0.83509
11,2,0.29158,1.5877,0.69662,-0.24372
12,1,0.21567,-1.148,0.72225,-0.66689
12,2,-1.1658,0.10487,2.5855,0.18733
13,1,-0.082494,-0.43897,0.84038,0.10009
13,2,-1.933,-1.7947,-0.88803,-0.54453
14,1,0.30352,0.48997,1.7119,-2.1384
14,2,-0.60033,0.73936,-0.19412,-0.83959
15,1,1.3546,0.96095,1.4367,-0.1977
15,2,-1.0722,0.12405,-1.9609,-1.2078
16,1,2.908,1.379,-0.46862,1.0984
16,2,0.82522,-1.0582,-0.27247,-0.27787
17,1,0.70154,-0.35385,-1.5771,0.28198
17,2,-2.0518,-0.82359,0.50797,0.03348
18,1,-1.3337,0.35018,0.02289,-1.7502
18,2,1.1275,-0.29907,-0.262,-0.28565
19,1,-0.83137,-1.1564,-2.0026,0.52006
19,2,-0.97921,-0.53356,0.96423,-0.020028
20,1,-0.034771,1.0187,-0.71453,-0.22477
20,2,-0.79816,-0.13322,1.3514,-0.58903
21,1,-0.29375,-1.1201,1.6555,-1.2571
21,2,-0.84793,2.526,0.30754,-0.86547
22,1,-0.17653,-1.332,-1.4491,0.39135
22,2,0.79142,-2.3299,0.33351,0.45168
23,1,-0.13028,-0.47615,-1.3617,-0.84871
23,2,0.18369,0.86202,0.45503,-0.33489
24,1,0.55278,-1.1176,0.66014,-0.19522
24,2,1.0391,1.2607,-0.067866,-0.21761
25,1,-0.30311,0.05129,1.527,-0.20971
25,2,0.023046,0.82606,0.46691,0.62519
26,1,0.18323,0.94922,0.13517,0.26141
26,2,-1.0298,0.30706,0.51525,-0.94149
27,1,-0.16234,-0.53201,-0.87573,-0.712
27,2,-0.14605,1.6821,-0.48382,-1.1742
28,1,-0.19224,1.5301,-1.0642,1.2347
28,2,-0.27407,-0.24902,1.6035,-0.22963
29,1,-1.5062,-0.15594,-0.26116,0.39189
29,2,-0.44463,0.27607,0.44342,-1.2507
30,1,-0.94796,-0.50782,0.012469,-0.45701
30,2,-0.74111,-0.32058,-3.0292,1.2424
31,1,-1.0667,0.35032,0.18245,-0.084539
31,2,0.93373,-0.029006,-1.5651,1.6039
32,1,0.098348,-0.73417,0.23235,-0.37281
32,2,0.041374,-0.030814,0.42639,-0.23645
33,1,2.0237,2.2294,1.0001,-0.59003
33,2,-2.2584,0.33756,-1.6642,-0.27806
34,1,0.42272,0.47163,0.06619,0.32706
34,2,-1.6702,-1.2128,0.65236,1.0826
35,1,1.0061,0.25706,-1.3218,4.98E-05
35,2,-0.65091,-0.94438,0.92483,-0.054919
36,1,0.91113,0.3502,0.92979,-0.69036
36,2,0.59458,1.2503,0.23976,-0.65155
37,1,1.1921,-0.024462,1.0205,0.0011621
37,2,-1.6118,-1.9488,0.86172,-0.070837
38,1,-2.4863,-2.1924,0.079934,0.41149
38,2,0.58117,-2.3193,-0.94848,0.67698
39,1,0.85773,0.44938,0.82607,0.89789
39,2,-0.69116,0.10063,0.53616,-0.13194
40,1,-0.1472,-2.1237,-1.2706,0.64868
40,2,1.0078,-0.50459,-0.38258,0.82573
41,1,-1.0149,0.13702,0.30182,-0.92996
41,2,-0.47107,-0.29186,0.39993,-0.17683
42,1,-2.1321,-0.62909,-0.25394,-0.020858
42,2,1.1454,-1.2038,-1.4286,-0.56066
43,1,2.1778,-2.4969,-1.3981,0.1644
43,2,1.1385,0.44133,-0.25506,0.74773
44,1,-0.27305,-0.48094,0.66473,0.88095
44,2,1.5763,0.32751,0.085189,0.32321
45,1,-0.78415,1.8586,0.10336,0.1136
45,2,-1.8054,-0.60453,0.56317,-0.90473
46,1,-0.46771,1.479,0.78467,-0.23386
46,2,-0.12489,-0.86082,0.30862,-1.057
47,1,-0.28414,-1.4694,-0.82229,0.33621
47,2,-0.08669,0.19218,-0.094241,-0.90465
48,1,-0.28826,-1.8359,2.4245,-0.31577
48,2,0.35006,1.036,0.9594,0.42862
49,1,-1.036,0.9407,-0.87587,-0.55829
49,2,1.8779,0.78735,0.31995,-0.31143
50,1,-0.57001,-0.90875,-1.6989,-0.1178
50,2,-1.0257,-0.2099,0.6076,0.69916
51,1,0.26965,-1.4831,-0.447,1.1287
51,2,0.49429,-1.0203,0.10966,-0.28996
52,1,1.2616,1.1741,-0.65682,0.15549
52,2,0.47542,0.12695,-1.4814,0.81855
53,1,-0.29259,-0.30864,-0.49301,0.045841
53,2,-0.54079,-1.0966,-0.18074,-0.063783
54,1,0.61134,1.814,1.8045,0.52655
54,2,0.10932,0.31202,-0.72312,-0.26025
55,1,0.60014,-2.186,-1.441,1.4702
55,2,0.59393,-1.327,0.40184,-0.32681
56,1,0.81232,-1.0516,-0.75189,-0.032567
56,2,0.54554,0.39747,1.5163,1.636
57,1,-0.42506,-0.062791,-0.98213,-0.054886
57,2,0.58943,-2.022,0.61251,-1.1187
58,1,-0.62638,-0.99302,-0.64071,-1.0799
58,2,0.24952,0.97495,1.8089,0.19919
