M,J,X,W,P,Q
1,1,0.53767,-2.2588,5.1186,6.83E+05
1,2,1.8339,0.86217,7.7721,1.26E+05
2,1,3.5784,-1.3499,17.648,8446.2
2,2,2.7694,3.0349,22.681,4.9613
3,1,-0.12414,1.409,6.4778,2.52E+05
3,2,1.4897,1.4172,10.095,26023
4,1,0.48889,0.72689,6.7597,1.42E+05
4,2,1.0347,-0.30344,5.2853,6.27E+05
5,1,-1.0689,-2.9443,2.8886,4.20E+05
5,2,-0.8095,1.4384,2.7709,2.69E+05
6,1,-0.10224,0.31921,3.7565,3.73E+05
6,2,-0.24145,0.31286,4.4833,3.14E+05
7,1,1.0933,-0.86365,5.1619,5.79E+05
7,2,1.1093,0.077359,6.5551,1.64E+05
8,1,-0.76967,-0.22558,2.9548,2.99E+05
8,2,0.37138,1.1174,6.9443,1.66E+05
9,1,1.5442,-1.4916,5.2464,6.13E+05
9,2,0.085931,-0.7423,6.5108,2.84E+05
10,1,-0.19242,-0.76485,2.683,2.40E+05
10,2,0.88861,-1.4023,5.8138,6.16E+05
11,1,1.4193,0.19781,7.3018,3.10E+05
11,2,0.29158,1.5877,6.6351,2.84E+05
12,1,0.21567,-1.148,4.6933,5.81E+05
12,2,-1.1658,0.10487,4.5116,2.84E+05
13,1,-0.082494,-0.43897,5.2115,5.56E+05
13,2,-1.933,-1.7947,1.5647,93591
14,1,0.30352,0.48997,5.8753,6.24E+05
14,2,-0.60033,0.73936,3.1667,2.28E+05
15,1,1.3546,0.96095,10.474,1.66E+05
15,2,-1.0722,0.12405,2.0037,2.07E+05
16,1,2.908,1.379,20.225,17.345
16,2,0.82522,-1.0582,5.7056,6.62E+05
17,1,0.70154,-0.35385,4.4921,4.83E+05
17,2,-2.0518,-0.82359,2.1134,1.70E+05
18,1,-1.3337,0.35018,2.293,2.33E+05
18,2,1.1275,-0.29907,6.0765,5.48E+05
19,1,-0.83137,-1.1564,2.1245,1.65E+05
19,2,-0.97921,-0.53356,3.7417,4.72E+05
20,1,-0.034771,1.0187,4.1009,2.73E+05
20,2,-0.79816,-0.13322,4.0697,4.83E+05
21,1,-0.29375,-1.1201,4.9078,6.61E+05
21,2,-0.84793,2.526,4.0618,1.32E+05
22,1,-0.17653,-1.332,2.6764,2.35E+05
22,2,0.79142,-2.3299,5.4154,6.26E+05
23,1,-0.13028,-0.47615,2.9245,3.84E+05
23,2,0.18369,0.86202,5.4012,3.72E+05
24,1,0.55278,-1.1176,5.6346,6.14E+05
24,2,1.0391,1.2607,7.0633,1.88E+05
25,1,-0.30311,0.05129,5.3088,5.05E+05
25,2,0.023046,0.82606,5.726,2.21E+05
26,1,0.18323,0.94922,5.5805,2.91E+05
26,2,-1.0298,0.30706,3.2288,3.95E+05
27,1,-0.16234,-0.53201,3.247,4.36E+05
27,2,-0.14605,1.6821,3.9994,3.14E+05
28,1,-0.19224,1.5301,4.8748,88823
28,2,-0.27407,-0.24902,5.5067,5.78E+05
29,1,-1.5062,-0.15594,2.4527,1.53E+05
29,2,-0.44463,0.27607,4.0366,5.31E+05
30,1,-0.94796,-0.50782,3.1515,4.50E+05
30,2,-0.74111,-0.32058,2.2,84158
31,1,-1.0667,0.35032,3.2672,3.26E+05
31,2,0.93373,-0.029006,5.7137,2.69E+05
32,1,0.098348,-0.73417,4.2065,4.77E+05
32,2,0.041374,-0.030814,4.5073,3.83E+05
33,1,2.0237,2.2294,15.469,4156.6
33,2,-2.2584,0.33756,1.6473,55590
34,1,0.42272,0.47163,5.8169,3.93E+05
34,2,-1.6702,-1.2128,2.675,2.49E+05
35,1,1.0061,0.25706,5.0186,3.65E+05
35,2,-0.65091,-0.94438,3.7425,4.49E+05
36,1,0.91113,0.3502,6.8898,4.80E+05
36,2,0.59458,1.2503,5.9785,3.18E+05
37,1,1.1921,-0.024462,7.9969,4.00E+05
